Barcode ID,Bone element,digestion,tooth marks,n,NSP,%
Elephantidae,Long_bone,no,yes,1,63,1.5873015873015872
Reindeer,Long_bone,no,yes,1,429,0.2331002331002331
Reindeer,Long_bone,yes,no,4,429,0.9324009324009324
Cervid/Saiga,Long_bone,no,yes,1,3,33.33333333333333
Cervid/Saiga,Long_bone,yes,no,1,3,33.33333333333333
