Barcode ID,variable,n,mean,sd
Elephantidae,length,63,54.148,37.798
Equidae,length,49,45.933,17.648
Reindeer,length,429,44.877,15.112
Bos/Bison,length,15,47.711,17.413
unidentified,length,116,54.582,30.25
