Barcode ID,NSP,%carn,%hum
Elephantidae,63,1.6,0
Reindeer,429,1.2,0
Reindeer,429,0,23.1
Cervid/Saiga,3,66.7,0
Equidae,49,0,18.4
Bos/Bison,15,0,20
Bovidae/Reindeer,20,0,35
unidentified,116,0,19
